company;isin;names;edgar_name;cik;note;ticker
42;US88579Y1010;['3M', ' 3M CO'];3M CO;66740;;MMM
53;US0028241000;['ABBOTT LABORATORIES'];ABBOTT LABORATORIES;1800;;ABT
123;US00287Y1091;['ABBVIE INC'];ABBVIE INC.;1551152;;ABBV
120;IE00B4BNMY34;['ACCENTURE PLC CLASS A', ' ACCENTURE PLC'];ACCENTURE PLC;1467373;;ACN
4;US00130H1059;['AES CORP'];AES CORP;874761;;AES
18;US0138171014;['ALCOA INC'];ALCOA INC;4281;;AA
129;IE00BY9D5467;['ALLERGAN'];ALLERGAN iNC;850693;note: ALLERGAN INC (0000850693) and ALLERGAN PLC (0001578845);AGN
32;US0200021014;['ALLSTATE CORP'];ALLSTATE CORP;899051;;ALL
87;US02079K3059;['ALPHABET INC CLASS A'];ALPHABET INC.;1652044;note: GOOGLE INC (0001288776);GOOG
71;US02209S1033;['ALTRIA GROUP INC'];ALTRIA GROUP INC;764180;;MO
103;US0231351067;['AMAZON COM INC'];AMAZON COM INC;1018724;;AMZN
8;US0255371017;['AMERICAN ELECTRIC POWER INC'];AMERICAN ELECTRIC POWER CO INC;4904;;AEP
47;US0258161092;['AMERICAN EXPRESS'];AMERICAN EXPRESS CO;4962;;AXP
73;US0268747849;['AMERICAN INTERNATIONAL GROUP INC'];AMERICAN INTERNATIONAL GROUP INC;5272;;AIG
58;US0311621009;['AMGEN INC'];AMGEN INC;318154;;AMGN
122;US0325111070;['ANADARKO PETROLEUM CORP'];ANADARKO PETROLEUM CORP;773910;;APC
29;US0352291035;['ANHEUSER-BUSCH COMPANIES INC.'];ANHEUSER-BUSCH COMPANIES, LLC;310569;;BUD
112;US0374111054;['APACHE CORP'];APACHE CORP;6769;;APA
88;US0378331005;['APPLE INC'];APPLE INC;320193;;AAPL
68;US00206R1023;['AT&T INC'];AT&T INC.;732717;note: also AT&T COPR (0000005907);T
5;US0543031027;['AVON PRODUCTS INC'];AVON PRODUCTS INC;8868;now private;AVP
17;US0572241075;['BAKER HUGHES INC'];BAKER HUGHES INC;808362;;BKR
78;US0605051046;['BANK OF AMERICA CORP'];BANK OF AMERICA CORP;70858;;BAC
84;US0640581007;['BANK OF NEW YORK MELLON CORP'];BANK OF NEW YORK MELLON CORP;1390777;;BK
25;US0718131099;['BAXTER INTERNATIONAL INC.', ' BAXTER INTERNATIONAL INC'];BAXTER INTERNATIONAL INC;10456;;BAX
110;US0846707026;['BERKSHIRE HATHAWAY INC CLASS B'];BERKSHIRE HATHAWAY INC;1067983;;BRK-B
128;US09062X1037;['BIOGEN INC INC', ' BIOGEN INC'];BIOGEN INC;714655;;BIIB
143;US09247X1019;['BLACKROCK INC.', ' BLACKROCK INC'];BLACKROCK INC.;1364742;;BLK
44;US0970231058;['BOEING'];BOEING CO;12927;;BA
37;US1101221083;['BRISTOL MYERS SQUIBB'];BRISTOL MYERS SQUIBB CO;14272;;BMY
0;US1344291091;['CAMPBELL SOUP'];CAMPBELL SOUP CO;16732;;CPB
83;US14040H1059;['CAPITAL ONE FINANCIAL CORP'];CAPITAL ONE FINANCIAL CORP;927628;;COF
34;US1491231015;['CATERPILLAR INC.', ' CATERPILLAR INC'];CATERPILLAR INC;18230;;CAT
16;US1248572026;['CBS CORP CLASS B'];CBS CORP;106413;note: VIACOMCBS INC. (0000813828);CBS_old
131;US1510201049;['CELGENE CORP'];CELGENE COPR /DE/;816284;;CELG
144;US16119P1084;['CHARTER COMMUNICATIONS INC CLASS A'];CHARTER COMMUNICATIONS, INC.;1091667;;CHTR
70;US1667641005;['CHEVRON CORP'];CHEVRON CORP;93410;;CVX
3;US1255091092;['CIGNA CORP'];CIGNA CORP;1739940;;CI
